domain|Subject Alternative Name|Certificate SerialNumber
"www.clinica.lucasmapa.com.br"|"DNS:clinica.lucasmapa.com.br, DNS:www.clinica.lucasmapa.com.br"|"03:e1:f0:b6:5c:f7:bb:b3:76:dc:09:fe:f4:52:8e:ed:96:81"
"www.clinica.marketingdevalor.com"|"DNS:clinica.marketingdevalor.com, DNS:www.clinica.marketingdevalor.com"|"03:54:ce:8f:86:be:bd:4e:4a:30:fb:56:f3:42:02:31:92:a5"
"www.clinica.massimus.co.ao"|"DNS:clinica.massimus.co.ao, DNS:www.clinica.massimus.co.ao"|"53:d8:d1:50:1b:8d:50:8b:d8:29:7e:4f:c1:77:ac:2f"
"www.clinica.mcsyster.com.br"|"DNS:*.academiamarciocombat.com.br, DNS:*.evangelistamota.com.br, DNS:*.ludwigcursos.com.br, DNS:*.mcsyster.com.br, DNS:*.ouzadiamodas.com.br, DNS:academiamarciocombat.com.br, DNS:evangelistamota.com.br, DNS:ludwigcursos.com.br, DNS:mcsyster.com.br, DNS:ouzadiamodas.com.br, DNS:www.academiamarciocombat2.mcsyster.com.br, DNS:www.acai.mcsyster.com.br, DNS:www.advogado.mcsyster.com.br, DNS:www.clinica.mcsyster.com.br, DNS:www.delive.mcsyster.com.br, DNS:www.evangelistamota.mcsyster.com.br, DNS:www.lazer.mcsyster.com.br, DNS:www.ludwigcursos.mcsyster.com.br, DNS:www.odonto.mcsyster.com.br, DNS:www.oficina.mcsyster.com.br, DNS:www.ouzadiamodas.mcsyster.com.br, DNS:www.salao.mcsyster.com.br"|"03:93:1c:e1:40:7a:bc:1c:f2:8f:f5:df:ce:10:36:e7:f8:13"
"www.clinica.mytech.co.mz"|"DNS:clinica.mytech.co.mz, DNS:www.clinica.mytech.co.mz"|"c5:5e:f1:b5:cb:20:8a:0b:05:a0:e0:87:c5:26:f2:37"
"www.clinica.netpowersites.com"|"DNS:clinica.netpowersites.com, DNS:www.clinica.netpowersites.com"|"03:fb:49:ae:52:0a:9a:5b:f2:1e:07:6d:2b:d4:78:8f:13:43"
"www.clinica.newsensationec.com"|"DNS:*.newsensationec.com, DNS:www.centroesteticointegral.newsensationec.com, DNS:www.clinica.newsensationec.com"|"03:a2:44:09:d0:cf:b7:1e:56:b8:4f:44:7e:38:81:85:0a:79"
"www.clinica.odontologiagomes.com.br"|"DNS:clinica.odontologiagomes.com.br, DNS:www.clinica.odontologiagomes.com.br"|"03:aa:a9:60:c4:25:8d:91:13:99:5b:e7:15:18:8e:03:19:30"
"www.clinica.oguiadenegocios.com"|"DNS:*.agenciabezalel.com, DNS:*.oguiadenegocios.com, DNS:agenciabezalel.com, DNS:sergipe.today.oguiadenegocios.com, DNS:www.bezalel.oguiadenegocios.com, DNS:www.clinica.oguiadenegocios.com, DNS:www.sergipe.today.oguiadenegocios.com"|"03:1f:ed:27:6d:71:43:1e:5a:60:d9:21:12:ba:63:c6:4d:85"
"www.clinica.onlinemexico.com.mx"|"DNS:clinica.onlinemexico.com.mx, DNS:www.clinica.onlinemexico.com.mx"|"a6:62:54:4a:c5:28:d6:42:09:f3:bd:0f:6b:fa:c7:f5"
"www.clinica.orl.bucuresti.cristian-ionita.ro"|"DNS:*.cristian-ionita.ro, DNS:clinica.orl.bucuresti.cristian-ionita.ro, DNS:www.chist.cristian-ionita.ro, DNS:www.clinica.orl.bucuresti.cristian-ionita.ro, DNS:www.dyphonia.cristian-ionita.ro, DNS:www.nevralgie.cristian-ionita.ro, DNS:www.orl-bucuresti.cristian-ionita.ro, DNS:www.orlhociota.cristian-ionita.ro, DNS:www.tinitus.cristian-ionita.ro, DNS:www.ureche.cristian-ionita.ro, DNS:www.voicecare.cristian-ionita.ro"|"04:21:ee:59:67:f9:67:08:2a:20:ed:67:9f:e3:12:dc:70:58"
"www.clinica.ozskyn.com.au"|"DNS:*.ozskyn.com.au, DNS:ozskyn.com.au, DNS:www.clinica.ozskyn.com.au"|"04:d0:7c:03:a5:9c:cb:cc:04:05:68:95:d7:67:fc:bd:ef:c5"
"www.clinica.paginasweb7.com"|"DNS:clinica.paginasweb7.com, DNS:www.clinica.paginasweb7.com"|"df:a3:be:15:f0:16:1c:16:62:8d:f4:3b:7d:14:fc:94"
"www.clinica.pamunda.com"|"DNS:clinica.pamunda.com, DNS:www.clinica.pamunda.com"|"19:cb:02:92:2a:c6:3a:1e:ca:94:98:51:2c:95:cb:c4"
"www.clinica.pelousetech.com"|"DNS:*.com.pelousetech.com, DNS:*.fbm-cnc.com, DNS:*.pelousetech.com, DNS:fbm-cnc.com, DNS:www.analytics.pelousetech.com, DNS:www.clinica.pelousetech.com, DNS:www.fbm-cnc.com.pelousetech.com, DNS:www.tienda.pelousetech.com"|"04:6c:2e:76:09:17:df:d1:64:e1:f5:77:69:87:ad:01:90:34"
"www.clinica.persof.com.br"|""|""
"www.clinica.planetahost.com.br"|"DNS:*.planetahost.com.br, DNS:www.clinica.planetahost.com.br, DNS:www.dentista.planetahost.com.br"|"03:43:84:d6:9e:06:12:16:00:81:36:b8:0e:f8:0d:f7:21:28"
"www.clinica.portasur.ar"|"DNS:clinica.portasur.ar, DNS:www.clinica.portasur.ar"|"04:8a:a6:14:28:4f:9d:c6:20:16:85:25:c9:7c:d4:f4:ac:62"
"www.clinica.poupon-bambin.com"|"DNS:clinica.poupon-bambin.com, DNS:www.clinica.poupon-bambin.com"|"03:85:b7:37:76:c4:9e:70:dd:90:68:75:c0:f7:d3:f5:c0:83"
"www.clinica.probit.pt"|"DNS:clinica.probit.pt, DNS:www.clinica.probit.pt"|"03:ce:09:21:af:8e:66:b5:8f:8e:c6:d8:2d:6b:50:a8:6e:62"
"www.clinica.proemes.com"|"DNS:clinica.proemes.com, DNS:www.clinica.proemes.com"|"8a:00:5d:87:3b:9e:8a:01:15:a3:29:4a:14:c4:d7:c0"
"www.clinica.profdata.com.br"|"DNS:*.profdata.com.br, DNS:www.clinica.profdata.com.br, DNS:www.facic.profdata.com.br, DNS:www.quiz.profdata.com.br"|"03:9e:ed:18:7f:8b:ae:24:1d:5d:ae:76:bd:96:e3:9e:22:f7"
"www.clinica.proyectoshippo.com"|"DNS:*.proyectoshippo.com, DNS:proyectoshippo.com, DNS:www.clinica.proyectoshippo.com"|"03:00:05:45:2e:12:cc:7f:1a:b3:96:cb:87:3e:42:51:6b:d5"
"www.clinica.ptibr.com.br"|"DNS:*.ptibr.com.br, DNS:ptibr.com.br"|"04:7e:ee:8d:fe:86:93:69:cc:ca:79:ab:8a:e2:59:69:72:fc"
"www.clinica.redexpressarte.com"|"DNS:clinica.redexpressarte.com, DNS:www.clinica.redexpressarte.com"|"04:22:1e:db:52:7c:d6:34:31:b0:eb:d6:65:ae:39:74:e3:76"
"www.clinica.revitalizaestetica.com.br"|"DNS:clinica.revitalizaestetica.com.br, DNS:www.clinica.revitalizaestetica.com.br"|"63:a4:08:15:b7:14:e3:45:e9:d2:43:f5:a7:fe:52:b6"
"www.clinica.sgt.com.pe"|"DNS:clinica.sgt.com.pe, DNS:www.clinica.sgt.com.pe"|"04:a7:23:90:85:af:54:39:96:43:9d:68:1d:b9:6f:7a:cd:4e"
"www.clinica.singularsi.com.br"|""|""
"www.clinica.sistemas.org.pe"|"DNS:clinica.sistemas.org.pe, DNS:www.clinica.sistemas.org.pe"|"04:3b:fe:99:e9:7a:3d:bc:43:17:95:7f:8c:d9:22:b7:9c:02"
"www.clinica.suhdo.com.br"|"DNS:clinica.suhdo.com.br, DNS:www.clinica.suhdo.com.br"|"04:01:03:f2:a1:94:bb:02:67:46:89:55:51:32:98:00:44:48"
"www.clinica.sume.site"|"DNS:clinica.sume.site, DNS:cooperstore888.sume.site, DNS:www.clinica.sume.site, DNS:www.cooperstore888.sume.site"|"03:f0:be:b9:11:6c:92:37:4a:c4:86:f9:a6:46:b9:58:7f:3d"
"www.clinica.tatianapintoec.com"|"DNS:*.tatianapintoec.com, DNS:tatianapintoec.com, DNS:www.clcmaquinaria.tatianapintoec.com, DNS:www.clinica.tatianapintoec.com, DNS:www.emprosal.tatianapintoec.com, DNS:www.finca.tatianapintoec.com, DNS:www.fullpacking.tatianapintoec.com, DNS:www.liberty.tatianapintoec.com, DNS:www.marketingtpec.tatianapintoec.com, DNS:www.neomaq.tatianapintoec.com, DNS:www.sculpture.tatianapintoec.com"|"03:b5:14:d3:48:53:d5:e6:f0:90:d4:2e:95:ee:77:fe:03:d6"
"www.clinica.tecnoinfo.net.br"|""|""
"www.clinica.teorience.com"|""|""
"www.clinica.tutorium.pt"|"DNS:*.tutorium.pt, DNS:www.2015.tutorium.pt, DNS:www.cartas.tutorium.pt, DNS:www.clinica.tutorium.pt, DNS:www.junta.tutorium.pt"|"03:4d:a6:f2:07:3f:32:19:32:de:cd:33:4a:53:24:d9:b4:80"
"www.clinica.vetcon.ro"|"DNS:*.vetcon.ro, DNS:www.clinica.vetcon.ro"|"04:ff:ea:29:9e:e6:eb:2e:97:94:d6:01:80:cb:0c:62:b0:21"
"www.clinica.vidaysalud.com.gt"|"DNS:clinica.vidaysalud.com.gt, DNS:www.clinica.vidaysalud.com.gt"|"04:64:72:86:c7:28:62:27:1d:44:79:c2:71:90:8f:7a:62:8c"
"www.clinica.villamedyc.com"|"DNS:autodiscover.villamedyc.com, DNS:clinica.villamedyc.com, DNS:cpanel.villamedyc.com, DNS:cpcalendars.villamedyc.com, DNS:cpcontacts.villamedyc.com, DNS:mail.villamedyc.com, DNS:villamedyc.com, DNS:webdisk.villamedyc.com, DNS:webmail.villamedyc.com, DNS:www.clinica.villamedyc.com, DNS:www.villamedyc.com"|"03:66:81:0f:46:c7:f9:7e:bf:6a:db:79:29:bd:5a:6f:5d:a0"
"www.clinica.vortecapps.com.br"|"DNS:*.vortecapps.com.br, DNS:www.clinica.vortecapps.com.br"|"03:48:37:05:d9:fb:59:89:42:b6:c2:9c:57:68:dd:dc:78:09"
"www.clinica.webdiz.ro"|"DNS:clinica.webdiz.ro, DNS:www.clinica.webdiz.ro"|"21:63:0f:3e:2f:0f:ac:ac:68:28:f5:0b:6f:75:c8:3c"
"www.clinica.wgars.com.br"|"DNS:clinica.wgars.com.br, DNS:www.clinica.wgars.com.br"|"04:8f:7d:48:6c:f2:82:2b:59:62:62:ab:b2:8d:7d:93:67:16"
"www.clinica.wsfeiraseeventos.com.br"|"DNS:*.wsfeiraseeventos.com.br, DNS:wsfeiraseeventos.com.br, DNS:www.clinica.wsfeiraseeventos.com.br, DNS:www.noias1.wsfeiraseeventos.com.br"|"03:88:aa:7c:00:c8:a4:a0:71:7a:8e:a7:97:c5:9e:82:52:cf"
"www.clinica.zanonmca.com"|"DNS:api.zanonmca.com, DNS:apicli.zanonmca.com, DNS:autodiscover.zanonmca.com, DNS:cdn.zanonmca.com, DNS:clinica.zanonmca.com, DNS:invenapi.zanonmca.com, DNS:inventario.zanonmca.com, DNS:mail.zanonmca.com, DNS:manage.zanonmca.com, DNS:www.api.zanonmca.com, DNS:www.apicli.zanonmca.com, DNS:www.cdn.zanonmca.com, DNS:www.clinica.zanonmca.com, DNS:www.invenapi.zanonmca.com, DNS:www.inventario.zanonmca.com, DNS:www.manage.zanonmca.com, DNS:www.zanonmca.com, DNS:zanonmca.com"|"03:59:49:bc:a7:ed:4d:cd:a9:0d:7a:ad:90:cd:2f:61:c5:4a"
"www.clinicaparticulara.clinica-particulara.ro"|"DNS:clinicaparticulara.clinica-particulara.ro, DNS:clinicaparticulara.ro, DNS:cpanel.clinicaparticulara.ro, DNS:cpcalendars.clinicaparticulara.ro, DNS:cpcontacts.clinicaparticulara.ro, DNS:mail.clinicaparticulara.ro, DNS:webdisk.clinicaparticulara.ro, DNS:webmail.clinicaparticulara.ro, DNS:www.clinicaparticulara.clinica-particulara.ro, DNS:www.clinicaparticulara.ro"|"03:fd:c3:06:7b:f9:40:bf:7c:4c:10:99:23:dc:33:12:9b:f3"
"www.clinique-pasteur-tunisie.com"|"DNS:clinique-pasteur-tunisie.com, DNS:www.clinique-pasteur-tunisie.com"|"03:9c:4d:ee:16:4b:2e:66:85:1d:3b:de:21:8f:8a:23:df:ce"
"www.cloud.clinica-dr-richard.eu"|"DNS:cloud.clinica-dr-richard.eu, DNS:www.cloud.clinica-dr-richard.eu"|"04:57:10:1b:b0:e6:4e:b3:c0:6a:e4:ee:cc:6e:93:d1:8b:2f"
"www.cms.clinica-marketing.ru"|"DNS:cms.clinica-marketing.ru, DNS:www.cms.clinica-marketing.ru"|"04:51:74:47:6b:fc:71:64:a4:ef:53:a6:06:f3:81:89:0b:8c"
"www.cni.negociosinternacionales.com"|"DNS:*.discoverycorp.com.sv, DNS:*.negociosinternacionales.com, DNS:discoverycorp.com.sv, DNS:negociosinternacionales.com, DNS:sisepuede.com.sv.negociosinternacionales.com, DNS:www.cni.negociosinternacionales.com, DNS:www.dcg.negociosinternacionales.com, DNS:www.dcgstudio.negociosinternacionales.com, DNS:www.digiprint.negociosinternacionales.com, DNS:www.discoverycorp.negociosinternacionales.com, DNS:www.environmental.negociosinternacionales.com, DNS:www.globalws.negociosinternacionales.com, DNS:www.grupo-nisa.negociosinternacionales.com, DNS:www.gws.negociosinternacionales.com, DNS:www.pro-earth.negociosinternacionales.com, DNS:www.sisepuede.com.sv.negociosinternacionales.com, DNS:www.sisepuede.negociosinternacionales.com"|"03:ab:26:d3:7e:ea:70:0f:56:37:d4:b3:8e:82:eb:70:84:e9"
"www.co2-designs.prointernettv.com"|"DNS:*.bigheaddecal.com, DNS:*.cannabusinesslenders.com, DNS:*.co2-designs.com, DNS:*.gforceextraction.com, DNS:*.prointernettv.com, DNS:*.windowtintingcommercial.com, DNS:bigheaddecal.com, DNS:cannabusinesslenders.com, DNS:co2-designs.com, DNS:gforceextraction.com, DNS:prointernettv.com, DNS:windowtintingcommercial.com, DNS:www.bigheaddecal.prointernettv.com, DNS:www.cannabusinesslenders.prointernettv.com, DNS:www.co2-designs.prointernettv.com, DNS:www.gforceextraction.prointernettv.com, DNS:www.windowtintingcommercial.prointernettv.com"|"03:1c:2b:e9:27:d4:25:a7:df:85:71:01:42:f3:c3:54:f3:fa"
"www.cobranca.bhdtecnologia.com.br"|"DNS:*.bhdtecnologia.com.br, DNS:www.academia.bhdtecnologia.com.br, DNS:www.bhdgestao.bhdtecnologia.com.br, DNS:www.centraldeajuda.bhdtecnologia.com.br, DNS:www.cobranca.bhdtecnologia.com.br, DNS:www.desenvolvimento.bhdtecnologia.com.br, DNS:www.escola.bhdtecnologia.com.br, DNS:www.extimbetim.bhdtecnologia.com.br, DNS:www.gestao.bhdtecnologia.com.br, DNS:www.loja.bhdtecnologia.com.br, DNS:www.sindicato.bhdtecnologia.com.br, DNS:www.suporte.bhdtecnologia.com.br, DNS:www.winner.bhdtecnologia.com.br"|"03:f7:93:a4:5a:fc:9e:47:4c:d6:07:e0:62:dd:28:41:b2:33"
"www.cobranca.casadossites.com"|"DNS:cobranca.casadossites.com, DNS:www.cobranca.casadossites.com"|"b7:a8:79:47:d1:01:a0:88:c4:ea:53:92:60:8c:27:4c"
"www.cobranca.catec.inf.br"|"DNS:*.catec.inf.br, DNS:www.adm.catec.inf.br, DNS:www.clinica.catec.inf.br, DNS:www.cobranca.catec.inf.br, DNS:www.corporalle.catec.inf.br, DNS:www.dcesquadrias.catec.inf.br, DNS:www.farmscontrol.catec.inf.br, DNS:www.grupoagility.catec.inf.br, DNS:www.proagro.catec.inf.br, DNS:www.ricken.catec.inf.br, DNS:www.softtrans.catec.inf.br, DNS:www.testeesquadrias.catec.inf.br, DNS:www.xerfan.catec.inf.br"|"03:9e:bf:e3:10:e9:0f:b4:cc:03:62:22:d0:a1:a7:2d:b6:3e"
"www.cobranca.digitalcase.info"|"DNS:*.digitalcase.info, DNS:www.cobranca.digitalcase.info, DNS:www.colares3.digitalcase.info, DNS:www.kfactor.digitalcase.info, DNS:www.receitas-de-comidas.digitalcase.info, DNS:www.relacionamento.digitalcase.info"|"03:ce:14:7e:90:ad:4e:0a:13:06:c0:1c:d0:8e:4c:75:29:f1"
"www.cobranca.equipeonline.com"|"DNS:*.equipeonline.com, DNS:www.boraceiafrios.equipeonline.com, DNS:www.bvoficinasistema.equipeonline.com, DNS:www.cobranca.equipeonline.com, DNS:www.cobranca2.equipeonline.com, DNS:www.consultoriatel.equipeonline.com, DNS:www.criarsite.equipeonline.com, DNS:www.escola.equipeonline.com, DNS:www.grupoantunes.equipeonline.com, DNS:www.grupoantunescom.equipeonline.com, DNS:www.grupoantunesnet.equipeonline.com, DNS:www.igreja.equipeonline.com, DNS:www.inovepet.equipeonline.com, DNS:www.king.equipeonline.com, DNS:www.logica.equipeonline.com, DNS:www.logicafixo.equipeonline.com, DNS:www.logicateste.equipeonline.com, DNS:www.marcelosoares.equipeonline.com, DNS:www.nfe.equipeonline.com, DNS:www.noveli.equipeonline.com, DNS:www.oficinasaojose.equipeonline.com, DNS:www.taquaricap.equipeonline.com, DNS:www.transportecoletivo.equipeonline.com"|"04:c6:a9:85:fd:98:b6:32:d7:f9:5d:92:b7:31:2a:1c:5a:84"
"www.cobranca.mediasoftware.app.br"|"DNS:cobranca.mediasoftware.app.br, DNS:cte.mediasoftware.app.br, DNS:imparaveis.mediasoftware.app.br, DNS:www.cobranca.mediasoftware.app.br, DNS:www.cte.mediasoftware.app.br, DNS:www.imparaveis.mediasoftware.app.br"|"03:7f:27:8a:05:c0:dc:f0:43:c5:a0:81:e7:21:6b:72:4e:21"
"www.cobranca.mgcbank.com.br"|"DNS:cobranca.mgcbank.com.br, DNS:www.cobranca.mgcbank.com.br"|"04:7c:a4:83:4a:70:22:39:39:d2:81:59:52:ad:32:d7:f1:9e"
"www.cobranca.novars.com.br"|"DNS:*.novars.com.br, DNS:novars.com.br, DNS:www.acontece.novars.com.br, DNS:www.alvescardoso.novars.com.br, DNS:www.bibliotecaupav.novars.com.br, DNS:www.cobranca.novars.com.br, DNS:www.instituto.novars.com.br, DNS:www.najo.novars.com.br, DNS:www.pointfinder.novars.com.br"|"03:df:b4:7d:e8:26:8f:e3:73:bd:f3:63:b7:9f:37:17:96:c8"
"www.cobranca.plass.com.br"|"DNS:*.plass.com.br, DNS:www.cobranca.plass.com.br, DNS:www.plas871.plass.com.br"|"04:bb:6c:14:2a:43:96:3b:74:c1:90:a8:1a:c9:09:f5:5d:04"
"www.cobranca.scriptphp.ru"|"DNS:autodiscover.cobranca.scriptphp.ru, DNS:cobranca.scriptphp.ru, DNS:cpanel.cobranca.scriptphp.ru, DNS:cpcalendars.cobranca.scriptphp.ru, DNS:cpcontacts.cobranca.scriptphp.ru, DNS:webdisk.cobranca.scriptphp.ru, DNS:webmail.cobranca.scriptphp.ru, DNS:www.cobranca.scriptphp.ru"|"03:f2:62:92:a5:8b:39:05:25:22:ad:2d:17:f0:ef:fe:87:7b"
"www.cobranca.webpic.com.br"|""|""
"www.cointer.projetoscomputacao.com.br"|"DNS:*.projetoscomputacao.com.br, DNS:www.ajudaqui.projetoscomputacao.com.br, DNS:www.cointer.projetoscomputacao.com.br, DNS:www.ebus.projetoscomputacao.com.br, DNS:www.educarv.projetoscomputacao.com.br, DNS:www.identincendio.projetoscomputacao.com.br, DNS:www.inrio.projetoscomputacao.com.br, DNS:www.kerokolaborar.projetoscomputacao.com.br, DNS:www.lbm.projetoscomputacao.com.br, DNS:www.lince.projetoscomputacao.com.br, DNS:www.majachego.projetoscomputacao.com.br, DNS:www.prov.projetoscomputacao.com.br, DNS:www.qrov.projetoscomputacao.com.br"|"03:18:37:17:d2:91:63:27:a0:25:b5:c0:76:d5:ca:cc:93:2c"
"www.colegioliceopanamericanocampestre.edu.co"|"DNS:colegioliceopanamericanocampestre.edu.co, DNS:autodiscover.colegioliceopanamericanocampestre.edu.co, DNS:cpanel.colegioliceopanamericanocampestre.edu.co, DNS:cpcalendars.colegioliceopanamericanocampestre.edu.co, DNS:cpcontacts.colegioliceopanamericanocampestre.edu.co, DNS:mail.colegioliceopanamericanocampestre.edu.co, DNS:webdisk.colegioliceopanamericanocampestre.edu.co, DNS:webmail.colegioliceopanamericanocampestre.edu.co, DNS:www.colegioliceopanamericanocampestre.edu.co"|"0e:0b:ad:f4:bf:1e:e2:83:1f:b3:1e:54:07:66:ff:68"
"www.colegiopanamericano.com"|"DNS:colegiopanamericano.com, DNS:www.colegiopanamericano.com"|"03:5f:95:ef:e6:07:c7:96:37:7d:6c:dc:ca:32:06:ef:65:65"
"www.colegiosurorientalpanamericano.com"|"DNS:colegiosurorientalpanamericano.com, DNS:cpanel.colegiosurorientalpanamericano.com, DNS:cpcalendars.colegiosurorientalpanamericano.com, DNS:cpcontacts.colegiosurorientalpanamericano.com, DNS:mail.colegiosurorientalpanamericano.com, DNS:webdisk.colegiosurorientalpanamericano.com, DNS:webmail.colegiosurorientalpanamericano.com, DNS:www.colegiosurorientalpanamericano.com"|"39:9c:9e:48:90:4d:80:02:cb:56:d8:ea:be:d0:8f:8b"
"www.coliseumleiloes.com.br"|"DNS:www.coliseumleiloes.com.br"|"f5:3a:2c:06:f8:39:41:d5:ff:a8:79:61:4f:69:4b:82"
"www.commerce-interprovincial.fccq.ca"|"DNS:commerce-interprovincial.fccq.ca, DNS:www.commerce-interprovincial.fccq.ca"|"64:ab:cf:d4:fc:ed:0b:fd:be:ec:02:c9:85:69:d7:45"
"www.compra-segura-online-aqui.online"|"DNS:compra-segura-online-aqui.online, DNS:www.compra-segura-online-aqui.online"|"04:a4:57:d1:90:2f:13:de:bd:f5:7b:45:f4:ae:c6:73:65:aa"
"www.compra-segura-online.shop"|"DNS:compra-segura-online.shop, DNS:www.compra-segura-online.shop"|"04:f1:7e:b1:1c:2b:67:48:e5:bf:12:a1:be:87:31:10:11:5b"
"www.compra.segura.produto-oficial-site.com"|"DNS:compra.segura.produto-oficial-site.com, DNS:creschair.desconto-hoje.produto-oficial-site.com, DNS:www.compra.segura.produto-oficial-site.com, DNS:www.creschair.desconto-hoje.produto-oficial-site.com"|"03:46:7d:3c:0f:cb:ad:8b:6b:c7:05:a3:43:66:4d:0c:ec:16"
"www.compreagora-oferta.techhomeecia.com.br"|"DNS:*.bestshop-offer.shop, DNS:*.compreagora-oferta.shop, DNS:*.digitalcreative.site, DNS:bestshop-offer.shop, DNS:bestshop-offer.techhomeecia.com.br, DNS:compreagora-oferta.shop, DNS:compreagora-oferta.techhomeecia.com.br, DNS:digitalcreative.site, DNS:digitalcreative.techhomeecia.com.br, DNS:www.bestshop-offer.techhomeecia.com.br, DNS:www.compreagora-oferta.techhomeecia.com.br, DNS:www.digitalcreative.techhomeecia.com.br"|"03:74:a6:39:b5:0e:33:06:bc:06:fe:b0:6e:12:35:c8:aa:43"
"www.consignado-rj.blackpar.co"|"DNS:consignado-rj.blackpar.co, DNS:www.consignado-rj.blackpar.co"|"97:79:a3:00:ec:97:f0:c5:a4:89:e1:ef:0e:ae:8e:90"
"www.console.clinica-marketing.ru"|"DNS:console.clinica-marketing.ru, DNS:www.console.clinica-marketing.ru"|"03:95:0c:4a:8f:6b:88:de:d5:da:18:ba:6d:b8:ed:5d:fb:30"
"www.consorciointeraeropuertos.com"|"DNS:consorciointeraeropuertos.com, DNS:www.consorciointeraeropuertos.com"|"04:f8:1c:c0:bd:1e:a5:56:c0:48:80:8a:a2:a1:39:ab:3a:d1"
"www.construccions-segura.doomsoftware.com"|"DNS:construccions-segura.doomsoftware.com, DNS:construccions-seyco.doomsoftware.com, DNS:fsegura-construccions.doomsoftware.com, DNS:fustesnord.doomsoftware.com, DNS:gruposegui.doomsoftware.com, DNS:gugubebe.doomsoftware.com, DNS:mantecsl.doomsoftware.com, DNS:marmolesbarcelona.doomsoftware.com, DNS:panrius.doomsoftware.com, DNS:pejan-es.doomsoftware.com, DNS:servifruit.doomsoftware.com, DNS:software-erp-serviciotecnico.doomsoftware.com, DNS:www.construccions-segura.doomsoftware.com, DNS:www.construccions-seyco.doomsoftware.com, DNS:www.fsegura-construccions.doomsoftware.com, DNS:www.fustesnord.doomsoftware.com, DNS:www.gruposegui.doomsoftware.com, DNS:www.gugubebe.doomsoftware.com, DNS:www.mantecsl.doomsoftware.com, DNS:www.marmolesbarcelona.doomsoftware.com, DNS:www.panrius.doomsoftware.com, DNS:www.pejan-es.doomsoftware.com, DNS:www.servifruit.doomsoftware.com, DNS:www.software-erp-serviciotecnico.doomsoftware.com"|"04:62:4e:fe:dc:20:62:84:4f:c8:3e:b8:d3:18:05:0b:1a:88"
"www.consultleiloes.alinks.com.br"|"DNS:*.alinks.com.br, DNS:www.acgassessoria.alinks.com.br, DNS:www.adesentupidora24horas.alinks.com.br, DNS:www.ajatocacavazamentos.alinks.com.br, DNS:www.alcachofrarestaurante.alinks.com.br, DNS:www.artcoolar.alinks.com.br, DNS:www.consultleiloes.alinks.com.br, DNS:www.desentupidoraimediatasp.alinks.com.br, DNS:www.detectavazamentosp.alinks.com.br, DNS:www.easyfloor.alinks.com.br, DNS:www.engefar.alinks.com.br, DNS:www.fastpisos.alinks.com.br, DNS:www.fastpisosvinilicos.alinks.com.br, DNS:www.goldhammer.alinks.com.br, DNS:www.markesplanejados.alinks.com.br, DNS:www.oficinadohobby.alinks.com.br, DNS:www.outwit.alinks.com.br, DNS:www.pilotfinder.alinks.com.br, DNS:www.prosperalocadora.alinks.com.br, DNS:www.seolinks.alinks.com.br, DNS:www.vgrental.alinks.com.br, DNS:www.videoinspecaoajato.alinks.com.br, DNS:www.welldrones.alinks.com.br"|"03:15:fa:70:cd:08:02:8c:bf:0c:31:16:1f:5c:2b:56:df:de"
"www.conta-digitalbancointer.com"|"DNS:conta-digitalbancointer.com, DNS:www.conta-digitalbancointer.com"|"03:26:5b:34:44:00:c0:37:6f:90:58:3b:ac:3b:40:36:c0:1e"
"www.contato-irpf.dancasolucoescontabeis.com"|"DNS:contato-irpf.dancasolucoescontabeis.com, DNS:www.contato-irpf.dancasolucoescontabeis.com"|"03:36:a9:91:1a:7d:fa:e1:c1:1b:e0:b0:1b:ef:57:25:fa:15"
"www.conteneursinterpro.com"|"DNS:conteneursinterpro.com, DNS:www.conteneursinterpro.com"|"03:80:6d:00:9a:19:4a:32:2b:f0:cd:7b:92:98:6c:04:40:5a"
"www.contentprokure.digitalinteractive.dev"|"DNS:contentprokure.digitalinteractive.dev, DNS:www.contentprokure.digitalinteractive.dev"|"04:ed:51:c0:fd:0e:be:88:ed:b1:71:fc:3f:9e:5f:30:b2:fe"
"www.coolgreenturf.negociosinternacionales.com"|"DNS:*.negociosinternacionales.com, DNS:www.coolgreenturf.negociosinternacionales.com"|"04:eb:14:29:8b:1a:2d:36:d5:63:9d:f9:89:6f:9d:3e:df:c8"
"www.coopac-intercredito.com"|"DNS:coopac-intercredito.com, DNS:www.coopac-intercredito.com"|"04:9f:38:94:32:11:e5:5e:ca:d6:e4:ec:20:6e:f2:3b:ce:f2"
"www.coopecad.boleto-e.com"|"DNS:coopecad.boleto-e.com, DNS:www.coopecad.boleto-e.com"|"03:b7:eb:f7:6f:9f:b5:9d:25:8c:96:54:54:b2:4e:b4:db:f9"
"www.copartleilao.org"|"DNS:*.copartleilao.org, DNS:copartleilao.org"|"03:bd:ba:ee:7d:b9:dc:d7:b2:28:b1:c0:76:27:54:2d:8d:ed"
"www.corona-virus-pandemie.ch"|"DNS:corona-virus-pandemie.ch, DNS:www.corona-virus-pandemie.ch"|"03:3b:6b:76:87:d9:52:fe:af:3a:74:3f:41:e5:a6:fd:e2:5f"
"www.corona-virus-worldwide.com"|"DNS:corona-virus-worldwide.com, DNS:www.corona-virus-worldwide.com"|"03:99:48:5c:0b:a5:4a:c3:b4:4a:08:e0:95:32:19:a3:23:b9"
